,sentence
38301,Twakozesa obukodyo obw'enjawulo okusobola okukungaanya obubaka era nga bwe buno wammanga.
38302,Twandisobodde okuba na byonna naye aba butakkiriza tetwandikimalirizza.
38303,Twasalawo okulonda ekitundu ky'e Kawempe.
38304,Twasanga obuzibu mu kukkirizibwa okuyingira mu masomero agamu newankubadde twalina ebbaluwa etukkiriza okukola okunoonyereza.
38305,Twazuula ensobi nnyingi mu kapande ako nga zeekuusa ku njawula n'engatta y'ebigambo.
38306,Twazuula ng'akabonero akatonnyeze kaakozesebwa mu bukyamu.
38307,Twebaza abakulu b'amasomero abaatwaniriza mu masomero gaabwe.
38308,Twebaza nnyo omulungamya waffe olw'omulimu omunene gwe yakola.
38309,Tweyaambisa akakodyo kano okusobola okuwandiika endowooza z'abasomesa ze baali batuwa era nga tweyambisa ekkalamu n'ekitabo.
38310,Wabeewo omwenkanonkano mu nnimi n'okukulaakulana kw'eggwanga.
38311,Wabula okuteeka ennimi ebbiri ku kipande kimu baagenderera kuyamba abo abatamanyi Luwarabu.
38312,Wano tusuubirwa okubeera n'empapula ko n'ekkalamu eby'okukozesa mu kuwandiika.
38313,Wano yatulaga ekiruubirirwa ky'essomero eryo nga kwe kusomesa abayizi enzikiriza y'obusiraamu.
38314,Wateekebwawo obukiiko obw'enjawulo okulondoola ensonga eno.
38315,Yafulumya ekiwandiiko nga kigamba nti Oluswayiri lulina okufiibwako mu bwangu ddala.
38316,Yakola okunoonyereza mu bitundu bye Lira mu Uganda.
38317,Yali agezaako okulaba nga asigaza olulimi olunaamuyamba mu biseera by'omu maaso.
38318,Yuganda yali wansi era kumpi ekyali wansi w'obufuge bw'amatwale obwa Bungereza.
38319,Zizze zissaawo obukiiko obwekaliriza n'okwekebejja eby'enjigiriza mu ggwanga.
38320,Omuwala oyo mulungi ate alina empisa ennungi.
38321,"Ab'engeri eyo tebakoma awo, wabula ne mu maka empisa embi tezeebulizaayo."
38322,Abaali balabye ku misambwa batuugamba nti omusambwa guba mumyufu okukira endeku.
38323,Ababa batabuulirirwa ku mbeera ey'ekikyala beesanga basobeddwa mu bulamu bwabwe.
38324,Ababimanyi bagamba nti amaka g‘omuntu lwe Lubiri.
38325,Ababimanyi batugambye akabi akali mu mpale abawala era n'abakyala zebeekapika.
38326,"Abagezigezi bagamba nti,ng‘oyagala okumanya obugunjufu bw‘omuntu yenna tuukako mu kabuyonjo ke."
38327,Abakulu bagenda kuggya nkya.
38328,Abakulu beetegerezanga buli kimu ekiri ku muwala oyo.
38329,"Abalala bakozesa ebintu ebikalu bye balina nga, mmotoka, essimu n'ebirala."
38330,Abalya ekikajjo bakiraba bulungi nti ekikuta eky'okungulu kyefaanaanyirizaako eddiba.
38331,Abamu bambala esaati kubanga alabye gundi ng'agyambadde.
38332,Abamu tebalinda na kumanya mannya g'oyo gwe baagala okwegatta naye.
38333,Abantu ab'engeri eyo baba bajama nnyo.
38334,Abantu abaali ku mbaga okwo abasinga baali bakazi.
38335,Abantu ababeera awo nga bawuulu tebabeera nassanyu mu bulamu bwabwe.
38336,Abantu abamu baagaliza abalala ebirungi.
38337,Abantu abo baali beetegereza nnyo ku buli kintu.
38338,Abantu bakozesa ebintu eby'enjawulo bingi ddala.
38339,Abantu bameka abaabadde bagenda e Nakawa?
38340,Abantu bangi abatamyi kukwata biseera bagambibwa okuba mbu beeyisa mu ngeri ya kiddugavu.
38341,Abantu bonna ab‘obuvunaanyizibwa bambala nga bwe bateekeddwa okwambala.
38342,Abantu musanvu bavaamu w'oyimirira omulundi ogwokubiri.
38343,Abasinga omwenge baguyigira ku bannaabwe naddala abavubuka.
38344,Abasinga tumanyi nti ky'osiga ky'okungula.
38345,Abattanga enswa essaawa ezo baba bali ku biswa byabwe.
38346,Abavubuka abamu balowooza nti okwambala engoye ez‘ebbeeyi lw'osobola okulabika obulungi!
38347,Abawala musaana mwewale okubeera ng'essowaani erirwamu buli muntu.
38348,Abawalajjana kati bambala engoye ng‘ebintu by'omubiri eby'esonyi bilabika.
38349,Abazannya batuula erudda n'erudda nga buli omu alina enje ye.
38350,Abazungu lunaana bajjira mu ngatto emu.
38351,Abo abatali ba mukisa bayitiddeyo era ne bafa.
38352,Abo beebamu ku abo boowulira nti beebagazze ente oba endiga!
38353,"Abonga enje ey'empafu, agikwata wakati mu kibutobuto."
38354,"Abongesa enje ey'omuti gwa muwogo, afuna enje enkalu obulungi."
38355,Afuna n'akasubi aka mukonzikonzi oba ak'olusenke.
38356,Akalabiriza bazaana kaba keewerekera nga nnyinimu ono.
38357,Akatiko kaakulira ddala ng'akasisiira.
38358,Akatiko kaba n'omukonda gumu ogukawanirira.
38359,Akozesa ennukuta ezikolebwa ekyuma kya bamuzibe era nga by'asoma akwatako bikwate.
38360,Alina kwogera bwogezi kubanga asobola okwogera.
38361,Amaka ag'engeri eyo temuba mirembe nakamu.
38362,Amalya g'ebyemisana mu Buganda gaaberangawo mu ttuntu.
38363,Amangu ago ng'amanya ssente ziri mu luggi luli olulala.
38364,Amangu ago omukyala n'atumya akatebe ka malaaya asiika.
38365,Amataala g'emmotoka eyo gonna tegaaka.
38366,Amatta nsejjere ze ssaawa eze ttumbi.
38367,Ani ayagala bano ba nsonjoge oba Njabala?
38368,Anti n'ekimuli kiri ekya Looza tekisobola kufumita oyo akinoga n'obwegendereza!
38369,Anti omusango guluma yaguzza!
38370,Anti omuto gyamanyi enkuba gy'ettonya.
38371,Anti yo olugikoonako ng'omwenge gwonna ogulimu guyiika obutasigalamu wadde ettondo!
38372,"Anti, olwo tuba tuboolekeza ebintu ebyenjawulo ebikwata ku tteeka erimu."
38373,Anywa nnyo omwenge n'ebitamiiza ebirala.
38374,Ate bw'omala leka kubiyingiza byonna nga bitonyolokoka amazzi.
38375,"Ate era buli luvanyuma lw‘ekiseera ekigere, teeka eddagala mu kabuyonjo."
38376,Ate era jjukira nti ky'osiga ky'okungula.
38377,Ate era omwezi guno okutuuka mu mwezi ogwa Ntenvu gwe tuyita omwaka omusajja.
38378,Ate kimanye nti ssente mugenyi zijja ne ziddayo.
38379,Ate nno omusajja oyo tayagalira ddala kutambuza bigere.
38380,Ate oli gwe ndabye ku kifugi ayagala ki?
38381,Ateekwa kuba nabisaanyizo ki byempulira nga nneegomba?
38382,Awo ab'emmeemme enjababayaba nabo beevaamu okulaga bannaabwe nti endiga bo tezibatomeranga.
38383,Awo abafumbo baba balemaganye.
38384,Awo bw'ova ku byange ow'engatto y'anaaba Omugezi.
38385,Awo ggwe ojjamu ki?
38386,Awo nga tugamba nti gundi awemuse.
38387,Awo nno olaba nti obulimba n'ebiseera bigendera wamu.
38388,Awo nno weewava okwerooterera.
38389,Awo obubbi buba bukula era omwana bwatyo afuukira ddala kkondo.
38390,Awo obuyonjo we bwetaagisiza.
38391,Awo oli wakubuuliza nti yali nsobi y'ani?
38392,Baabadde bakutte n'ensawo nga zifaanagana nga zaalukibwa mu nsansa.
38393,"Baagala mugagga, ate n'essente w'ekuba egonzaawo."
38394,Baana bawala ab'ennaku zino mweddeko!
38395,Baatunuuliranga era ne beekenneenya ebintu bingi nnyo.
38396,Bafubye ennyo okunsomesa okutuuka mu kiseera kino we mpandiikidde ekitabo kino.
38397,Bagambe bajje eno mu nju gye baba bansanga.
38398,"Bajjajjaffe baalugera nti ""Guweddeko entonto enyonyi ziguyita ttale oba bbali""."
38399,"Bajjajjaffe bo bagamba nti, ""twekisize akira tunamma""."
38400,Bakamaabo fuba nnyo okubawuliririza nga bakuwa ebiragiro.
38401,"Bali balungi nnyo, era ne bw'obafukako amazzi oganywa n'omutima gumu."
38402,Bamaama bazze nebatulabako eggulo.
38403,Bamunoonya lwa kufunisa muwala atanetuuka lubuto.
38404,Bangambye nti Mukasa mulwadde nnyo!
38405,Bangi abalowooza nti kya busiru okubeera nga buli kiseera oyogera mazima.
38406,Bannaffe abakugu mu by'omubiri bo batugamba nti gyandibadde emirundi ebiri.
38407,Bannange omuntu awunnya akamwa akubuuzaako emirembe ng'obade oyogera naye!
38408,Bannasaayansi batugamba nti Kkiriza oba gaana kino bwe kityo bwe kiri.
38409,Banyonnyola enyambala ya kabaka waabwe.
38410,Beera mwegendereza ng'olonda mikwano gyo.
38411,Bino baasobolanga okubimanya era n'okubitegeera nga basuuliza enkessi.
38412,Bino bye by'okulabirako bye tugenda okwogerako wano.
38413,Bino byonna ebyokwekwasa oli aba aluubirira kwewala kya kugamba nti asobya.
38414,Biri mu Lungereza naye ngezezzaako okubikyusa ne mbizza mu Luganda.
38415,Bisaanyizo ki by'olina ebiyinza okusikiriza abalala okukufuula mukwano gwabwe?
38416,Bonna tewali amanyi munne gy'ava wadde gy'abeera.
38417,"Buganda wonna era nga kikolebwa buli omu, n'olwekyo tewali kye baakisangananga."
38418,Buli kalango k'owulira bulimba bwereere.
38419,Buli kimu ky'okola kyetaagisaamu obuvumu.
38420,Buli kyalo mu Buganda kwabangako Omwami waakwo avunaanyizibwa okulondoola emirimu gya Beene.
38421,Buli lw‘owulira ng‘oyagala okuwummulako oba okwetereza oddako mu kisenge kyo ne weddabiriza.
38422,Buli lw'okola ekintu ne mukwano gwo kikwanguyira.
38423,"Buli lwe kiba nga kyetaagisa, akamwano tokasuulirira."
38424,Buli muntu alinda ssekukkulu y'omwaka guno etuuke.
38425,Buli omu atandika okubonga ne balaba enje y'oyo esinga okuzina ennyo.
38426,Bulijjo fuba okulaba nti buli lw'okola munno ensobi weetonda era neweemenya.
38427,"Bw'oba oyagala okubeera n'emirembe ku nsi kuno, tojeemeranga mukaddewo."
38428,Bw'ofukaamirira omuntu tolina kikuvaako.
38429,Bw'ogamba omuntu nti ojja kumuyamba okumukolera ekintu kyonna ofuba okulaba nti okituukiriza?
38430,Bw'omala okunaaba ddaabiriza enviiri zo zireme kubeera nga zisasamadde.
38431,Bw'omubuuza lwaki akola bw'atyo akuddamu kimu nti ye omusajja tamukkiriza kumujooga.
38432,Bw'omusanga n'omubuuza lwaki teyalabikako luli ng'akutegeezanga bweyafuna ebizibu natasobola kujja.
38433,Bw‘obeera n‘engoye eziddugala mu kisenge leka kuzikukulira wansi wa kitanda.
38434,"Bw'aba yekka, amapeesa ga lifuti asobola kunyigako kutuuka ku ppeesa eryomukaaga."
38435,"Bw'atuuka, agereza owedduuka mu ngeri ng'eyokusenya era omutunzi n'amanya ky'ayagala."
38436,Bw'atyo nga n'ekyeggulo yeetoloolerako eyo ku luuyi lw'ekyalo olulala anoonye ewali akayidde.
38437,Bw'oba ng'okigenderedde ekifo ekyo kirimu nnyo obusimu obwesittaza.
38438,Bw'oba omulenzi tosula namuwala era bw'oba omuwala tosula namulenzi.
38439,"Bw'oba omuwala, kizibwe wo omulenzi akuzira."
38440,Bw'oddamu ekyo ojja kumanya ensonga lwaki tolina mikwano gya nnamaddala.
38441,Bw'otunuulira ebyo olowooza omugoba wa takisi eyo afaanana atya?
38442,"Bw'oyisa omuntu owookubiri n'odda mu kifo kye, obeera mu kifo kyakubiri."
38443,Bwatyo nno nga Nnakyala bamusibirako era yagenda awoloma ebitagambika!
38444,"Bwe mbuguma, nsobola okutambula, ne nziruka era n'okubuuka ne mbuuka."
38445,Bwe nabadde ngenda e Nakawa nasanze omusajja ng'ali n'abakyala be babiri.
38446,"Bwe tutunulako mu Bbayibuli, namwo tulaba ekintu kye kimu."
38447,Bwobeera omwegendereza ofuna omukazi omutuufu.
38448,"Bwomala okwogera ekyo ky'omaze okwefumiitirizaako, fuba okulaba nti okituukiriza."
38449,Ddi lwenteekwa okukikola?
38450,"Ddumabikalu, anti gw'olya naye enkejje enjokerere yakuyita ddumabikalu."
38451,Ebeera nsongererevu ku njuyi zombi kumpi kufaananako ng'eggi.
38452,Ebibala nkumu nnyo by'oyinza okufuna singa obeera omuntumulamu.
38453,Ebigambo bino biwandiikiddwa mu bukyamu.
38454,Ebijanjaalo bwe bittulula bireebeeta buleebeesi.
38455,Ebikolimo byanaakukuba ojja kubyejjusa oyinza okufa ng'olumwa obugigi.
38456,Ebintu bingi ku nsi bye tuyinza okuyigirako.
38457,"Ebiwuka nga enswa, enseenene n'amayanzi byonna bibuuka."
38458,"Eby'obufumbo tobiyita bya mannyo wenu, tolowooza nti ababulimu basiika binyomo!"
38459,"Eby'okunaaba nga biwedde, oteekwa okukuuma akamwa ko buli kiseera nga kayonjo."
38460,"Ebyaddirira tebiwooma kunyumyako, naye ng‘akabasa nnyambala yeekaleese."
38461,"Ebyaddirira tebiwooma okunyumyako, naye ng‘akabasa nnyambala yeekaleese."
38462,Ebyo bye byali ebya luli.
38463,Ebyo byonna bijjawo lwa kupapa nabutamala kwetegekera kintu.
38464,Ebyo byonna nga bitukuuuma obutawemuka.
38465,Olabye Omuganda bwali “kagezi munnyo?
38466,Ebyo katubireke ye y'anaamanya.
38467,"Ebyo nga tubitadde ku bbali, waliwo ate ebikwata ku buwoowo oba kalifuuwa."
38468,Edda baabazanga bubaza okuva ekiseera webeebakidde nebamanya nti kati ye ssaawa ey'enswa.
38469,"Edda mu Buganda, waaliwo kaweefube w‘okukubiriza abantu okuzimba bu Kabuyonjo."
38470,"Edda, ne mu bitundu eby'omu byalo kati bookya ensiko oba ettale."
38471,Eddagala lyebabawa balibateeka mu kamwa omwo ne balyoka baddamu ak'obuntu.
38472,Eddiini zitusomesa nti olw'okuba omuntu eyasooka yayonoona ffenna twasikira ekyo eky'okusobya.
38473,Egaali eno mpanvu nnyo sigituuka bulungi.
38474,"Ekibanyi, kiba ngeri ya lutandaalo olubeera waggulu w'ekyoto."
38475,Ekifo ekyo kye Kiyungu oba Effumbiro.
38476,Ekifo w‘ofumbira kiteekwa okuba ekiyonjo ennyo.
38477,Ekigambo kya Katonda kitugamba nti oyo atwala okubuulirirwa n'empisa abeera mugezi.
38478,Ekika kya nnyoko buba bukojjabwo.
38479,Ekika kyo ggwe kennyini kye weddira gwe muziro gwo.
38480,Ekikokyo kino nakyo kitulaga abaana kye baalinanga okukola.
38481,Ekikoola ky'ejjuuni nga kirungi ddala.
38482,Ekimuli ekyo kirungi okuzaama era kyegombebwa buli omu!
38483,Ekimuli ekyo kuliko amaggwa agafumita.
38484,Ekintu ky'oluguudo olwo omuntu kye yavunaanyizibwangako okulima nga kiyitibwa enguudo.
38485,Ekirala ekigendera ku nnyambala ze nviiri.
38486,"Ekirala, kigenderere nti waliwo enzirugaze ebigambo kw'egattibwa ne kiba nga kiwangaala."
38487,"Ekireetera abantu okufuuka ba Lujuuju, oluusi kiva mu maka mwebakulidde."
38488,Ekirungi omugoba w'emmotoka yasobola okuyimirira mu kaseera akatuufu.
38489,"Ekiseera bwe kyatuukanga okuyonja oba okugogola oluzzi, omwami w'ekyalo ye yakulemberangamu."
38490,"Ekiseera kino kyagala kwegendereza nnyo, era wano okubuulirirwa okwamaanyi wekwetaagisiza."
38491,Ekisenge kifo kya kyama eri buli muntu yenna.
38492,Ekisenge wandibadde okyera oba okukisimuula buli lunaku.
38493,"Ekisooka, abedda baaterekanga ebintu bingi ku kibanyi."
38494,"Ekisooka, kwe kutangira abantu omuliro."
38495,Ekitabo kino nkiwonga eri bazadde bange.
38496,Ekituufu kyandibadde nti buli Ddimansi enjala zo wandibadde ozisalako.
38497,Ekiva mu kwewulunta okwo weesanga ng'otisse omuwala ettu lya Mugema.
38498,Ekoonye esobola okusigala ng'ekyebonga oba zonna okusirika omulundi gumu.
38499,Eky'omukisa omuvubuka ono yali asomye era nga atuuseeko ku kasozi ke Makerere.
38500,"Ekyo ekiwangaala era tulina okukiwangaaza mu mpandiika, kasita tewaba tteeka litukugira kukikola."
38501,Ekyo kye bategeeza mu kugamba nti omukulu tasobya.
38502,Ekyo kye kyabanga ekibiina oba liyite essomero.
38503,Ekyo kye tuyita okuzza omukono emabega.
38504,Ekyoto kyabanga kinyuvu nnyo ate nga kiyigiriza okukamala!
38505,Ekyoto kye kifo omuntu w'afumbira eky'okulya oba eky'okunywa.
38506,Emikwano gy'olina era gy'osuubira okufuna gisinziira ku ngeri gy'ogezaako okugifunamu.
38507,Emirimu ye kennyini gye yakolanga mu budde obutali bumu.
38508,"Empale nzirugavu, engatto nzirugavu, essaati nzirugavu, sitookisi nzirugavu wamu n'ekkooti enzirugavu."
38509,Empandiika y'ebigambo ebyo n'ebirala ebiringa ebyo tusobola bulungi okugituusa nga tufuddeyo.
38510,Empisa n'obulombolombo byonna baasomesezanga awo.
38511,Engeri abavubuka gye bafunamu “bannaabwe” ensangi zino eyungula ezziga.
38512,Engoma eno y'eyo emanyiddwa nga Saagalaagalamidde.
38513,Engoye bulijjo bw'omala okuzooza ate fuba okulaba nti ozigolola.
38514,Engoye bwe ziba ziddugadde zifunire ekisero oba ebbaafu ozikunganyize omwo.
38515,Engoye ezabuli musono yazirina.
38516,"Engoye ezitambula, omuntu yandibadde taziddamu mirundi gisukka mu ebiri."
38517,Engoye oteekwa okuzifaako nga bw'osobola okulaba nti zitukula bulijjo.
38518,Engoye z‘oyambala n‘otambula mu luguudo ziraga ekyo ky‘oli.
38519,Enjala ezo mu butuufu teziganya mwana muwala kunaaba n'atukula.
38520,Enjala nazo oteekwa okuzifaako nga ozikuuma nga nnyimpi ate nga nnyonjo.
38521,"Enje ekwatibwa n'ekyalakisajja n'engalo eya wakati, empanvu."
38522,Enje esobola okuzina okumala ebbanga erisukka mu ddakiika ennamba.
38523,Enje eva ku muti gw'empafu y'ensigo esigalawo ng'oli amaze okulya ekinyama ky'ekibala ky'empafu.
38524,Enje ezikozesebwa mu muzannyo guno ziva ku miti gya mirundi ebiri.
38525,"Enjogera ezo zibuuza ggwe nange, nga bageraageranya ku mulimi era n'omubumbi."
38526,Enkoko wano ziddamu okukookolima omulundi ogw'okubiri.
38527,Enkola endala eya bulungibwansi ye y'okulima enguudo.
38528,Enkola ya bulungibwansi mu Buganda bagiwuliriramu awatali kuwalira.
38529,"Enkuba olutonya, buli kimera kiddamu okutojjera era n'omuddo gwonna ne gumera."
38530,Enkwawa z'engoye bwezisalirira kiswaza nnyo.
38531,Enkyukakyuka ezo zijjawo kutegeka okusobola okufuula omuwala omukyala atuukiridde.
38532,Ennyambala y'abaana bawala ensagi zino mu butuufu ebayiwayo nnyo!
38533,Ensangi zino abaganzika obwana obuto ku busubi tebakyava mu mpapula za mawulire.
38534,Ensangi zino si bamalaaya bokka abambala obubi.
38535,Ensangi zino waliwo engeri nnyingi ezikozesebwa mu nkola eya Kizaalaggumba.
38536,"Ensigo ezo bwe zimala okukala, zisobola okweyasa."
38537,Ensobi ezimu tuzikola lwa buteefiirayo mu bye tukola.
38538,Ensonga ekyagaanyi bannaffe abamu okukulaakulana eri nti tebamanyi kukuuma budde.
38539,Ensonga eri nti bwe mwolesa enkula yammwe.
38540,Enswa ezo zibuuka wakati w'essaawa ekkumi n'emu ez'olweggulo mu mwezi ogwa Mutunda.
38541,"Ente y'amagulu ana, omuntu alina engalo kkumi ate ente ebeera n'ennywanto nnya."
38542,Enzigi ezo zikuumibwa abasajja babiri.
38543,"Enzirugaze, abamu bakayita akabembeekereze."
38544,Era ekiseera kino omuntu we yeetaagira okulungamizibwa saako n'okwegendereza ennyo!
38545,Era nga bangi bazifunamu ensimbi nyingi.
38546,"Era nga bw'owulira eddoboozi ly'engoma, nga tewaba muntu asuubirwa kwebaka ng'evuze."
38547,Era tujja kweyongera okulaba ebirala ebikwata ku nnyukuta ezo.
38548,"Erinnya Ssengawo kumpi kitaawo mulamba, era oteekwa okumussaamu ekitiibwa."
38549,"Essaawa emu okutuuka nga ku nnya, ze tuyita ez'enkya."
38550,Essaawa ezeggwango ziyitibwa zityo kubanga buli muntu essaawa ezo yabanga awummuddeko.
38551,Essaawa ezo amatutuma we gaakabiranga.
38552,Essaawa ezo enswa ze tuyita ensejjere mwe zibuukira.
38553,Essaawa z‘obulamu bwaffe ezisinga obungi kumpi tuzimala mu kisenge.
38554,Ettungulu erimu libaamu obusigo bungi nnyo.
38555,Ettungulu lirina langi emmyufu ennungi ennyo era esanyusa okulaba.
38556,Ettutu ly'olusenke bwe lukula lulebera ne luba nga terukyasobola kufumita.
38557,Ezimu ziva ku muwafu ate endala ziva ku muti gwa muwogo.
38558,Faayo okutuusa empandiika y'ennyukuta zino.
38559,Fuba nnyo okulaba nga tobeera ng'omulenzi omu Bbayibuli gw'eyogerako.
38560,Fuba nnyo okuwa ekitiibwa ekifo ewategekerwa ebyokulya.
38561,Gayamba nnyo okwoza mu kamwa.
38562,"Ggwe ate oba mwagala kw'olesa, lwaki temumazeewo mangu?"
38563,Ggwe ate oba nabo baba bali mu kikolwa kya butemu!
38564,Ggwe ate tunaawunyirizanga buwunyiriza ne tumanya nti oyo gundi kati yasonze?
38565,Ggwe ennyambala yo esoma etya oba eraga ki eri abo abakulaba?
38566,Ggwe ewuwo kiri kitya?
38567,Ggwe olowooza eyinza okumala n'efuuka ensuuwa entuufu era ennamu?
38568,Ggwe olowooza lwaki abantu abo bambala batyo?
38569,Ggwe omulenzi oyo akuyigirizaaki?
38570,Ggwe omuntu ng'oyo tolaba ng'oba omutya era ng'omuwa n'ekitiibwa?
38571,Ggwe omuwala leka kutunuulira mulenzi akulimbalimba n'obuntuntu obutaliimu!
38572,Ggwe ssebo omuntu onoobeeranga mwavu?
38573,Gwabanga mulimu gw'abantu abakima ku luzzi olwo okulaba nga luyonjebwa bulungi.
38574,Gwe abadde takikola kigezeeko ojja kulaba nga weebaka bulungi okukamala.
38575,Gwe ogamba omuntu omulamu olunaku yandinaabye emirundi emeka?
38576,Jangu tugendeyo Kati tulabalabe
38577,"Jjajja omukazi yafukaamiriranga bazzukulu be abalenzi, kubanga yabatwalanga okuba ba bba."
38578,Jjajjaawo yajja ddi okuggya wano obutiko?
38579,"Jjukira ggwe mugoba, weetunuulire olabe bw'ofaanana."
38580,Ka tusooke n'okugogola enzizi.
38581,Ka tutwale eby'okulabirako bino bibiri.
38582,Kaakati olwo bagende okukukwatako nga tebalina nawebatandikira.
38583,"Kabaka tamanyi birungi, yandiddidde ettungulu n'alifuula endeku ye."
38584,Kabaka yali wa kufuula bitonde bintu by'ayagala.
38585,"Kabi ddiba kabi nnyama kalungi ""mucuuzi"""
38586,Kabuyonjo ezimu zivaamu ensowera era n‘olusu olubi.
38587,Kale ggwe agamba nti tosobya wava wa?
38588,Kale ggwe muli olowooza ebyo ffe bye tulaba ebitwewuunyisa byajja bitya?
38589,Kale ggwe omuwala oteekwa okumanya nti buli ekikuliko kya kusikiriza eri abalenzi.
38590,Kale ky'ova olaba nti kya kivve okujeemera omuzadde eyakeera enkya n'akuzaala.
38591,"Kale nno abaana abaabangamu engalo, baasalanga amagezi okusomola ebintu."
38592,Kale nno awo w'otendera Bajjaajjaffe nti baali bantu bayiiya era nga beetegereza nnyo.
38593,Kale nno kiva ku nkula nampisa za muntu oyo n'engeri gye yakuzibwamu.
38594,Kale nno oli bwateekomako naddala mu kwegadanga kiyinza okumuzaalira ebitukula.
38595,Kale tolaba nga bo baalina obuntubulamu obutagambika?
38596,Kale tolaba nti ekimuli ekyo kisinga bingi era nga kyo kyegombesa?
38597,"Kalonda oyo yenna abaawo ng'obudde bukya yeeyavaako n'enjogera egamba nti, ""weeronda ng'obukya!"""
38598,"Kano kaba kawango, akabembeekerezebwa ku kikolwa."
38599,Kano kakodyo abawala ke baakozesanga okutemya ku bannaabwe singa baabanga bambadde mu ngeri etanyuma.
38600,"Kasobola okubeera akamu oba obubiri, okusinziira ku makulu agaluubirirwa."
38601,Kati ate olwo lwaki atambula?
38602,"Katonda akitugamba nti oyo atwala okubuulirirwa n'empisa, mu maaso eyo abeera mugezi."
38603,Katongole yafunisa muwala wa mukwano gwange olubuto.
38604,Katubitunuulire tulabe gyebikoma.
38605,Kiberu obudde abutegeera era buli kiseera alinako ekyakikolebwangamu.
38606,Kibi nnyo okulwanalwana n'abalala.
38607,Kibi nnyo okutabula olulimi.
38608,Kibi okumala geebikkulira muntu nga tonnaba kumanya bimukwatako.
38609,Kibi omuntu yenna okuyima mu Kabuyonjo natandika okwogera n‘omuntu ali ebweru.
38610,Kifuule tteeka nti engoye zo tozambala kusukka mulundi gumu nga tonnaba kuzooza.
38611,Kigambibwa nti bw'otuula ku ssiga towanvuwa.
38612,Kiki ky'otasobola kulya ku kyankya oba kyamisana?
38613,Kiki kyengenda okukola?
38614,Kiki kyokola ekiyinza okukufuula mukwano gw'abalala?
38615,Kikwetaagisa kumala kwemenya kugulu olyoke omanye omuntu amenyese obuzibu bw'ayitamu?
38616,Kimanye nti abantu abalala bakutunuulira nnyo ku nnyambala yo n‘okusinga ggwe bwe weetunuulira.
38617,Kimanye nti omukwano ogw'okugula obuguzi tegusobola kuwangaala.
38618,Kino kiba kitegeeza nti waliwo by'otayagala amanye era ng'obimukweka.
38619,Kino kiri nnyo ku baana ab'obulenzi.
38620,Kino kitegeeza nti asemberedde obuvunaanyizibwa obw'okwebezaawo yekka.
38621,Kino kukuyigirizaaki?
38622,Kino kya kabi nnyo naddala eri abawala.
38623,Kino kyaliwo okuva obwedda bwonna so tekitandise jjo.
38624,Kino oteekwa okukikola ng'ebintu tebinnaba kukwonoonekako.
38625,Kino oyinza kukinnyonnyola otya?
38626,Kino si kituufu nga bwe tuzze tulaba.
38627,Kino tekiriiko wadde okuwanaanya kubanga kituufu ddala.
38628,Kino wagezezzaako okukyezuulira?
38629,Kintu ki ekirina akalimi naye ate nga tekisobola kukomba ku kintu kyonna?
38630,Kintu ki nga singa kyambuka waggulu tosobola kukissa ne bw'okola otya?
38631,Kiri eri ffe aboogezi n'abawandiika.
38632,Kirungi okunaaba ku makya n'akawungeezi.
38633,Kitegeke bulungi naawe ogende okituukamu nga ddala owulira otuuse mu kifo awawummulirwa.
38634,Kiyinzika okuba ng'ekikokyo kino kyajjira mu kiseera eggaali we yajjira mu Buganda.
38635,Kizibwe ali kumpi nnyo n'oluganda olugatta ku muziro.
38636,Kizibwe wo tomukwata mu kiseke.
38637,Kizibwe ye mwana wa Ssengaawo gw'azaala.
38638,Kizira okulinnya ku masiga.
38639,Kizira okulinnya ku masiga.
38640,Kizira okutuula ku masiga.
38641,Kola ku Ssetendekero era nafuna omulimu nga gwa office.
38642,Kozesa ggwe by'olaba nti biyinza okukukkirizisa gwe weetondera okukusonyiwa.
38643,Ku ebyo bye baabanga bafunye baayongerangako bino.
38644,Ku lubanyi okwo baaterekangako ebintu ng'enva enkalirire n'ebirala.
38645,Ku nju kuli waggulu waayo waliyo akatuli katonotono.
38646,Ku nsi kuno buli kintu kirina endabika n‘enfaanana yakyo.
38647,"Ku siteegi w'oddako okuyimirira, babiri bagenda kufuluma ate abalala bayingire."
38648,Kubamu akafaananyi ng'oli mugoba wa takisi.
38649,Kubamu akafaananyi nga muli mu misinde.
38650,Kubamu akafaananyi omwana w'omuntu bwe yakukola ekintu ng'ekyo!
38651,Kumpi buli kiseera abantu basibiramu emisono gy'enviiri egy'enjawulo.
38652,Ky'ova olaba nga n'obufumbo bwe nnaku zino buzibu.
38653,Kya mazima ennyambala yo eyinza okukuteeka mu biti bya bantu ab‘enjawulo.
38654,"Kya muzizo nnyo era kya kivve, omuntu yenna okuwasa oba okufumbirwa ow'oluganda lwe."
38655,Kyakusaalirwa nti enkola eno kumpi yadibizibwa.
38656,Kyama ki ekiri mu mikwano ekyongera essanyu mu bulamu bwaffe?
38657,Kyandibadde kirungi bw'oba ng'omaze okunaaba obutadda mu ngoye z'obaddemu.
38658,Kyenkola bannange saagala bakinkole.
38659,Leero ayambadde mu ngeri ya kisaazisaazi.
38660,Leero kino kizitoyeemu.
38661,Leka kulinda lugoye lw'oyambala kumala kukyusa langi olyoke omanye nti luddugala.
38662,Lwaki nandikoze ekintu kino?
38663,Lwaki tontwalayo nendabayo?
